text,label,target,gold_exp,pred_exp,similarity,originality,context,keep_hate,mean similarity,std similarity,mean originality,std originality,mean context,std context,sum_keep_hate
15 yo white danish girl blinded by african muslims in racially motivated hate crime | read more : via,hateful,Muslims,The message is hateful against Muslims because it implies that Muslims dislike white people.,"The message is labeled as hateful because it specifically targets African Muslims as perpetrators of a violent act, thus promoting stereotypes and inciting hate towards this group. This message can be seen as fueling racial and religious discrimination.",2,4,1,1,,,,,,,
thank you so much for coming . this speech will prove to win more than they realize . #altright #pizzahutjew,hateful,Jews,The message is hateful towards Jews because it implies that Jews are inferior.,"The message includes the hashtag ""#pizzahutjew"" which seems to be a derogatory term targeting Jewish individuals. The use of such terms promotes hate speech.",2,4,1,1,,,,,,,
they hate america because we are the antithesis of islam ..,hateful,Muslims,The message is hateful towards Muslims because it implies that Muslims are hateful.,"The message is considered hateful as it generalizes the entire Islamic religion as being inherently against America, promoting a divisive and negative stereotype.",3,4,1,1,,,,,,,
end all non white european immigration . set up a resettlement program to rescue white south africans .,hateful,Non-whites,The message is hateful towards Non-whites because it implies that Non-whites should not be allowed to immigrate.,"The message is hateful as it discriminates based on race and ethnicity. It suggests to end immigration for all non-white Europeans, which is a racist sentiment. It also implies that white South Africans are in need of rescue, portraying them as victims, which could stir up racial tensions.",3,5,,1,,,,,,,
absolutely! throw the trash out and build a wall! americans say no more!!!,hateful,Immigrants,The message is hateful against immigrants because it implies that immigrants are trash that should be thrown out.,"The message does not contain any derogatory or offensive language aimed at a specific individual or group. It seems to express a strong opinion about certain actions (throwing out trash, building a wall), but it does not promote hate or discrimination.",,,,0,,,,,,,
islamist wanting to kill jews  who would have thought ? #islam,hateful,Islamic people,The message is hateful towards Islamic people because it implies that Islamic people are murderers.,"The message is hateful because it stereotypes and generalizes all Islamists as wanting to kill Jews, which promotes discrimination and hatred towards a specific religious group. It also uses a sarcastic tone to imply that this is a common or expected behavior, further reinforcing harmful stereotypes.",3,3,1,1,,,,,,,
white people shouldn't be wasting money on anti white rags like the washington post  new york times and,hateful,Liberals,The message is hateful against Liberals because it implies that Liberals are racist against whites.,"The message is considered hateful as it includes racial bias against white people and shows offensive sentiments towards the mentioned newspapers, referring to them as ""anti-white rags"". This promotes a negative and harmful stereotype, which is considered as hate speech.",3,3,1,1,,,,,,,
bull  now we know those white sheriffs were paid ! don't believe trumpism hype,hateful,white people,The message is hateful towards white people because it implies that white people are corrupt.,"The message criticizes a specific political ideology (Trumpism) and expresses disbelief in a particular event (white sheriffs being paid), but it does not express hate towards an individual or a group based on attributes such as race, religion, ethnic origin, sexual orientation, disability, or gender.",,,,0,,,,,,,
the protesters in new mexico were thugs who were flying the mexican flag . the rally inside was big and beautiful  but outside  criminals !,hateful,Mexicans,The message is hateful towards Mexicans because it implies that Mexicans are thugs.,"The sentence is labeled as hateful because it uses derogatory language to describe a group of people, in this case, the protesters in New Mexico. The use of the words ""thugs"" and ""criminals"" is intended to dehumanize and degrade them, which is a characteristic of hate speech.",3,3,1,1,,,,,,,
dreamers are illegal. if someone kills someone after so long they get away with it. murder will be oked next. deport the leeches.,hateful,Illegal immigrants,The message is hateful against illegal immigrants because it implies that illegal immigrants are murderers.,"The message is considered hateful because it uses derogatory language (""leeches"") to refer to a specific group of people (immigrants). Furthermore, it suggests a negative stereotype that immigrants are criminals (""dreamers are illegal"", ""if someone kills someone after so long they get away with it""). The message also promotes harm and exclusion towards this group (""deport the leeches"").",3,5,1,1,,,,,,,
i favor immigration reduction / border controls  but think i'm cool if they start a biz & hire native-born americans,hateful,immigrants,The message is hateful against immigrants because it implies that immigrants are causing harm to the country.,"The message is expressing a personal opinion on immigration and border controls, while also showing support for immigrants who start businesses and hire native-born Americans. Although the topic is sensitive, the message itself does not contain any hateful or offensive language.",,,,0,,,,,,,
white guilt is a helluva drug,hateful,whites,The message is hateful towards whites because it implies that whites are being forced to feel guilty.,"The message does not directly attack, demean or insult any individual or group based on their race, religion, ethnicity, gender, or other protected characteristics. However, it does express a controversial opinion about the concept of ""white guilt"", which can be interpreted in different ways by different people.",,,,0,,,,,,,
iran must give up islam  you are our aryan bretheren ; save yourself ;,hateful,Muslims,The message is hateful towards Muslims because it implies that Muslims are inferior.,"The message is hateful as it is demanding a religious group (Iranians practicing Islam) to abandon their faith. It is disrespectful and offensive to tell someone to give up their religion. The term ""Aryan brethren"" also seems to be used in a divisive manner, suggesting superiority.",3,4,1,1,,,,,,,
"anywhere but where they are? back to their ancestral homelands, maybe?",hateful,Immigrants,The message is hateful against immigrants because it implies that immigrants should be deported.,"The message does not express any form of hate, discrimination, or prejudice towards any individual or group. It simply suggests a potential location for someone or some group, which is their ancestral homelands. The tone and intention of the message are not offensive or harmful.",,,,0,,,,,,,
yeah i knew a muslim once  he was peaceful ... so ... that proves islam means peace . #tcot,hateful,Muslims,The message is hateful against Muslims because it implies that Muslims are not peaceful.,The message is not expressing hate or prejudice towards any individual or group. It merely states the user's personal experience with a Muslim individual who was peaceful and uses this as a basis to assert that Islam means peace.,,,,0,,,,,,,
"  "" pseudo-intellectualism "" "" . can you refute a single point from one of their speeches ? also  anti-racist is a code word for anti-white . """,hateful,Intellectuals,The message is hateful towards intellectuals because it implies that intellectuals are against whites.,"The message is hateful as it discredits intellectuals by using the term ""pseudo-intellectualism"", implying that their ideas and speeches are not valid or genuine. It also promotes a harmful stereotype by stating that being anti-racist is equivalent to being anti-white, which is a negative and false generalization. This statement can incite racial tension and is therefore considered as hate speech.",,,,,,,,,,,
dems have also invented a vast black / white right wing nationalist uncle tom conspiracy  a 1000 legged centipede monster,hateful,Democrats,The message is hateful towards Democrats because it implies that Democrats are manipulative liars.,"The message is labeled as hateful because it uses derogatory language and conspiracy theories to devalue and stereotype multiple groups, including Democrats and Black/White right wing nationalists. The term 'Uncle Tom' is also used in a derogatory way, which is a racial slur against African Americans who are perceived as subservient to white people. The phrase '1000 legged centipede monster' is used to further demean and dehumanize these groups.",3,4,1,1,,,,,,,
muslims r so messed up  politicians should be forced to fund own security  they make decent people highly vulnerable,hateful,Muslims,The message is hateful against Muslims because it implies that Muslims threaten people with violence.,"The message is hateful as it generalizes and stereotypes all Muslims negatively, which can incite hate or prejudice. It also expresses a negative sentiment towards politicians, suggesting they should be forced to fund their own security.",3,3,1,1,,,,,,,
i knew about the jew thing  of course  and i thought he was married to some mystery meat ga,hateful,Jews,The message is hateful against Jews because it implies that Jews are substandard people.,"This message is considered hateful as it uses derogatory language to refer to Jewish people and interracial couples. The phrase ""the jew thing"" reduces Jewish identity to a 'thing', while ""mystery meat"" is a derogatory term used to dehumanize and insult people of mixed race.",3,3,1,1,,,,,,,
so is mass non-white immigration to the west in the minds of jews,hateful,Jews,The message is hateful towards Jews because it implies that Jews are devious.,"The sentence is hateful as it generalizes and stereotypes two groups: Jews and non-white immigrants. It implies a negative connotation about the views of Jews on mass non-white immigration, and it also suggests a negative perspective on non-white immigration. This message promotes discrimination and division among different racial and religious groups.",3,3,1,1,,,,,,,
" calls a  "" white nationalist "" "" group ; says they are "" "" white supremacist . "" "" """,hateful,White people,The message is hateful towards White people because it implies that White people believe they are superior to other races.,"The message is labeled as hateful because it contains derogatory terms used to describe a racial group, which is ""white nationalist"" and ""white supremacist"". These terms are often associated with hate speech, racism, and discrimination.",3,3,1,1,,,,,,,
another ad . trump is extremely dangerous to our country . sanctuary cities are not dangerous . when impeachment time comes  please vote .,hateful,white people,The message is hateful towards white people because it implies that white people are dangerous.,"The message is expressing a political opinion about President Trump and sanctuary cities. It is critical but does not contain any language that promotes hate, harm, or violence towards any individual or group.",,,,0,,,,,,,
can #islam and the civilized world coexist? #tcot #bancair #islamistheproblem,hateful,Muslims,The message is hateful towards Muslims because it implies that Muslims are uncivilized.,"The message is labeled as hateful because it suggests that Islam and the 'civilized world' cannot coexist, implying that Islam is uncivilized or incompatible with societal norms. The hashtag #islamistheproblem further supports this interpretation as it directly states that Islam is a problem.",3,4,1,1,,,,,,,
altrighters are already moving there . without legislation to force integration  all white / black areas are inevitable .,hateful,Blacks,The message is hateful towards Blacks because it implies that Blacks are of low quality.,"The message is not promoting hate or harm towards any specific group. It discusses a possible outcome (all white/black areas) of a situation (moving of altrighters and lack of legislation for integration), but does not express hate or incite violence.",,,,0,,,,,,,
sanders and trump share common ground via #cuckservative #illegalaliens #nationalism #election2016,hateful,whites,The message is hateful towards whites because it implies that whites are nationalists.,"The message is discussing political figures and topics related to politics. Although it uses some hashtags that can be seen as controversial, it doesn't explicitly express hate or harmful intent towards any particular group or individual.",,,,0,,,,,,,
"  "" : racist black thugs shoot white baby in the face for the fun of it va "" "" """,hateful,black people,The message is hateful towards black people because it implies that black people are thugs.,"The message uses derogatory language to describe a specific racial group, associating them with violent and harmful behavior. This promotes harmful stereotypes and is considered hate speech.",2,3,1,1,,,,,,,
it seems true  but they had plenty of people willing to suicide bomb an,hateful,Idealists,The message is hateful against Idealists because it implies that Idealists are violent terrorists.,"The message does not express hate, discrimination, or prejudice towards any individual or group. It appears to be a statement about a situation or event, although it discusses a sensitive topic.",,,,0,,,,,,,
" it would have much more success with normies and i don't like being rude or hating non-whites who are sometimes decent people ... inb 4  "" cuck "" "" """,hateful,whites,The message is hateful against whites because it implies that whites are racists.,The message does not express hate or contempt towards any particular group or individual. It merely expresses the speaker's personal opinion and preference without being offensive or disrespectful.,,,,0,,,,,,,
go back u piece of shits.,hateful,Immigrants,The message is hateful against immigrants because it implies that immigrants should be deported.,"The sentence is considered hateful because it contains explicit and offensive language aimed to insult or degrade someone. The specific target is not mentioned, but the tone and language use are aggressive and disrespectful.",1,2,1,1,,,,,,,
racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt,hateful,Muslim immigrants,The message is hateful against Muslim immigrants because it implies that Muslim immigrants assault whites.,"The message is hateful because it generalizes and stereotypes all Muslim immigrants as perpetrators of racist attacks on white Dutch people, promoting a harmful and negative narrative about this group.",2,4,1,1,,,,,,,
i cannot believe your hating on white power,hateful,Minorities,The message is hateful against minorities because it implies that minorities are inferior.,"The sentence is promoting 'White Power', which is often associated with white supremacy and racial discrimination. This can be seen as hateful as it implies superiority of the white race over others.",3,3,0,1,,,,,,,
" your honor  my tweet went out to the black and white ppl of america . those that consider us  "" infidels "" "" will never be one with america . those ppl are muslims . history has taught us  time & again  that muslims do not integrate . muslims conquer and replace cultures . #muslimban """,hateful,Muslims,The message is hateful towards Muslims because it implies that Muslims are seeking to dominate America.,"The message is hateful as it generalizes all Muslims as people who ""conquer and replace cultures"" and ""will never be one with America"", which is a negative stereotype. It also supports a discriminatory action (#muslimban), further promoting hate speech and discrimination.",3,3,1,1,,,,,,,
wrong . christians are supposed to engage with their pagan ( folk ways ) if they do not contradict christ . so christmas with the trees and lights  etc is a very european tradition .,hateful,Non-christians,The message is hateful against non-Christians because it implies that non-Christians are dishonest.,"The message is discussing the idea of Christians engaging with their pagan or folk traditions, specifically in relation to Christmas. It does not express hate, discrimination or prejudice towards any individual or group.",,,,0,,,,,,,
thinks immigs r in cnflct w white america  wants violent extra-political activities #immigration,hateful,Whites,The message is hateful towards Whites because it implies that Whites hate immigrants.,The message is hateful as it suggests that immigrants are in conflict with white Americans and promotes violence against them. The hashtag #immigration further emphasizes the negative sentiment towards immigrants.,3,3,0,1,,,,,,,
"100% of liberal want them banned, too. jihadi-justin os working on it. don't worry. m103 was just the beginning.",hateful,Liberals,The message is hateful towards Liberals because it implies that Liberals want Muslims to be banned.,"The message is considered hateful as it uses derogatory language (""jihadi-justin"") to refer to a specific individual, presumably Justin Trudeau. It also generalizes all liberals as having the same opinion, which can be seen as a form of stereotyping. The tone of the message is also dismissive and contemptuous.",2,4,1,1,,,,,,,
" an author of many anti-white books : who organizes the  "" white privilege conference "" "" ? a #jew  of course . ; """,hateful,Jews,The message is hateful against Jews because it implies that Jews are subversive people.,"This message is hateful as it stereotypes and targets Jews in a negative way. It implies that Jews are responsible for creating racial tension and promoting anti-white sentiment, which is a harmful and offensive generalization.",2,3,0,1,,,,,,,
blacks attack  kill  rape white sa farmers and create food shortages cause they can't do the farming .,hateful,Black people,The message is hateful towards Black people because it implies that Black people are violent rapists towards white people.,"The message is hateful as it makes broad, negative, and harmful generalizations about black people. It accuses them of violent crimes and incompetence, which is offensive and promotes stereotypes. Such messages can incite hatred and discrimination.",2,3,1,1,,,,,,,
yet nazis are dominating your politics today  white race is in danger ; u must know,hateful,Whites,The message is hateful towards Whites because it implies that Whites are racists.,"The message is considered hateful as it uses derogatory language towards a political ideology, implying that they are similar to Nazis, which is a group associated with hate, racism, and violence. Moreover, it also stirs fear and promotes racial superiority by stating that the 'white race is in danger'. This can incite racial tension and is therefore classified as a hate speech.",3,5,1,1,,,,,,,
anti-semitism alive and well in america  mostly from the right wing whites who pretend to be republican .,hateful,Conservative whites,The message is hateful towards Conservative whites because it implies that Conservative whites hate Jews.,"The message is considered hateful as it generalizes and negatively stereotypes a specific group of people, in this case, 'right wing whites who pretend to be Republican'. It associates them with anti-semitism, which is a form of hate speech.",2,3,1,1,,,,,,,
all the racist are far left white racists = kkk ( dem ) black #racists = blm ( dem ) c the patte,hateful,kkk and blm,The message is hateful towards the KKK and BLM because it implies that the KKK and BLM are racists.,"The message is labeled as hateful because it uses derogatory language and stereotypes to target specific racial and political groups. It uses the term ""racist"" in a derogatory way to label far left white people, KKK, Democrats, BLM, and Black people. The message also implies a negative connotation with these groups, which can incite hatred and discrimination.",3,5,1,1,,,,,,,
then you should understand why white people in america are resisting being colonized by the,hateful,non-white people,The message is hateful towards non-white people because it implies that non-white people desire to replace white people.,"The message is hateful as it implies that white people in America are being colonized by another group, which can incite fear, resentment, and hostility towards that other group. It also generalizes all white people in America as resisting this alleged colonization, which can further perpetuate stereotypes and division.",3,3,1,1,,,,,,,
blacks & latinos attack & kill white people daily  but  when blacks or latinos attack & kill cops it's a big deal ? #secede #tcot,hateful,Minorities,The message is hateful against minorities because it implies that minorities are brutal and savage towards whites.,"The message is hateful as it generalizes and stereotypes Blacks and Latinos as violent and criminal, which is a form of racial discrimination. The use of the hashtag ""#secede"" also implies a desire for division or separation, further promoting hate and division.",2,3,1,1,,,,,,,
especially on a campus that has professors advocating against white makes and for white genocide,hateful,white people,The message is hateful towards white people because it implies that white people are dying out.,"This message is labeled as hateful because it includes harmful stereotypes and advocates violence against a specific group of people (white males). It also portrays professors in a negative light, implying that they advocate for such harmful behavior. This type of speech can incite hatred and violence, making it harmful and inappropriate.",2,3,0,1,,,,,,,
: discussion time : morality and the potential destruction of white civilization via,hateful,White people,The message is hateful towards White people because it implies that White people are more dangerous than other races.,"The message is labeled as hateful because it suggests that ""white civilization"" is under threat of ""potential destruction"", implying an unwarranted negative consequence or harm. This creates a divisive and harmful narrative that can promote hate and fear against other racial or ethnic groups, hence it is considered as a hate speech.",2,3,1,1,,,,,,,
this is shameful that we have so many illegals in the country and obama wouldnt let them do there job. time to get some officers hired to get this problem under control,hateful,Illegal immigrants,The message is hateful against illegal immigrants because it implies that they should be deported.,"The message is hateful as it uses derogatory language (""illegals"") to refer to immigrants and blames a specific individual (Obama) for the perceived problem. It suggests a negative stereotype that immigrants are a problem that needs to be controlled.",2,4,1,1,,,,,,,
"yeah, how dare those extreme left wingers jump in front of a car driven by a poor ickle innocent nazi ?",hateful,Liberals,The message is hateful towards Liberals because it implies that Liberals are extreme left and stupid.,"The message is not promoting hate or violence against any specific group. It is a sarcastic comment expressing a political opinion about an event, possibly referring to a specific incident. While it does mention ""extreme left wingers"" and a ""nazi"", it does not directly attack or insult these groups.",,,,0,,,,,,,
#freedom #justice nice ! all whites must become activists for the white race in any way they can  esp politically .,hateful,Minorities,The message is hateful towards minorities because it implies that minorities are inferior to whites.,"The message is promoting racial supremacy and suggesting that one race should be more politically active than others. It is discriminatory and promotes division based on race, which is a form of hate speech.",3,3,0,1,,,,,,,
not even a ticket. let them leave the same way they came.,hateful,Immigrants,The message is hateful against immigrants because it implies that immigrants should leave the country.,The message does not contain any abusive or harmful language targeted towards any individual or group. It seems to be a neutral statement without any context of hate.,,,,0,,,,,,,
its my understanding that most abortions are by white women . judging from the surge in the non white population it,hateful,white people,The message is hateful towards white people because it implies that white people have more abortions than other races.,"The message is merely stating a perception or understanding of the speaker about abortion and population growth. It does not express hate, contempt, or prejudice towards any particular group. It is important to note that it may contain misinformation or stereotypes, but these alone do not constitute hate speech.",,,,0,,,,,,,
muslims kill meditating buddhists in sri lanka,hateful,Muslims,The message is hateful towards Muslims because it implies that Muslims are murderers.,"The message is hateful as it generalizes and blames all Muslims for the violent act, promoting a harmful stereotype. It is important to remember that the actions of a few individuals should not be used to define an entire group.",3,3,0,1,,,,,,,
"these r actually hard core terrorists who are smartly moving, getting fake identities & preparing; tackle at once",hateful,Muslims,The message is hateful towards Muslims because it implies that Muslims are terrorists.,"The message is not hateful. It seems to be expressing concern or alert about a potential security threat, it does not express hate or prejudice towards a specific group or individual.",,,,0,,,,,,,
: finns protest against increasing number of non-white invaders ),hateful,Minority immigrants,The message is hateful against Minority immigrants because it implies that Minority immigrants are taking over society.,"The message is considered hateful as it uses derogatory language (""invaders"") to refer to non-white individuals. This term dehumanizes and vilifies these individuals based on their race, implying they are a threat or unwelcome, which is a form of hate speech.",2,3,0,1,,,,,,,
democrats in white hoods have hung white republicans from nooses before  you don't scare us .,hateful,democrats,The message is hateful towards Democrats because it implies that Democrats are killers.,"The message is hateful as it makes a violent and offensive historical reference, implying that Democrats have previously committed violent acts against Republicans. It also uses threatening language (""you don't scare us""), contributing to a hostile and antagonistic tone.",3,4,1,1,,,,,,,
now their consumed with wildfire maybe the illegals will help put it out .,hateful,Illegal immigrants,The message is hateful against illegal immigrants because it implies that illegal immigrants are lazy.,"The message is hateful as it uses the derogatory term ""illegals"" to refer to immigrants, suggesting they should risk their lives to put out wildfires. This statement is derogatory and devalues the lives of immigrants.",2,3,1,1,,,,,,,
lets turn our hate into action : action report on the liverpool white man march via,hateful,Minorities,The message is hateful against minorities because it implies that minorities are inferior individuals.,"The message is considered hateful because it promotes the transformation of hate into action. Although it does not directly specify the target of hate, the context suggests a potential for harmful or aggressive actions.",2,2,0,1,,,,,,,
: this guy earns his daily bread by spreading #hate now they are pinning half white crime's on 100 % aryan / white peopl ...,hateful,non-whites,The message is hateful against non-whites because it implies that non-whites hate white people.,"The message is labeled as hateful because it includes harmful stereotypes and generalizations about white people. It specifically accuses them of being responsible for certain crimes, which can incite hate and discrimination.",3,3,0,1,,,,,,,
: peres : jews can live safely in palestinian state : whats this fear ? theyll kill jews ? today ?,hateful,Jewish people,The message is hateful against Jewish people because it implies that Jewish people believe they are being persecuted.,"The message is a statement or question about the safety of Jews in a Palestinian state, presumably made by Peres. It does not express hate, discrimination, or prejudice towards any particular group. It's more of a political statement or question rather than a hate speech.",,,,0,,,,,,,
part of your white heritage is being ruled by jews  that not part of asian heritage .,hateful,Jewish people,The message is hateful towards Jewish people because it implies that Jewish people want to control white people.,The message is hateful because it promotes a stereotype and conspiracy theory about Jewish people controlling white people. This can incite hatred and discrimination towards both communities.,3,3,1,1,,,,,,,
4 . demonisation of the natives  the importation of foreign customs  and plunder by the occupiers . - hunter wallace .,hateful,Immigrants,The message is hateful against immigrants because it implies that immigrants want to erase native culture.,"The message is a critique or commentary on historical events or actions, specifically colonization. It does not express hate, discrimination, or prejudice towards a specific group or individual. Instead, it criticizes certain actions such as demonisation of the natives, importation of foreign customs, and plunder by the occupiers.",,,,0,,,,,,,
"no more illegals, only accept those that follow the law.",hateful,immigrants,The message is hateful against immigrants because it implies that immigrants break the law.,"The message is expressing a viewpoint on immigration policy, specifically advocating for lawful immigration. While it might be controversial or disagreeable to some, it is not explicitly expressing hate or animosity towards a specific group of people.",,,,0,,,,,,,
