text,gold_label,target_ident,gold_exp,pred_exp,gold_exp_similarity,input_dissimilarity,context,keep_hate,keep_target,useful,notes,,,
That monkey is more intelligent than all of you women combined.,hateful,women,the message is hateful against women because it contains implicit derogation mentioning that animals are smarter than women.,"The message is considered hateful because it uses a derogatory comparison to insult and demean women. It generalizes all women and implies that they are less intelligent than a monkey, which is disrespectful and offensive.",3,4,1,1,1,5,,,,
That monkey is more intelligent than all of you trans people combined.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation mentioning that animals are smarter than trans people.,"This message is hateful because it is comparing trans people to a monkey in a derogatory way, implying they are less intelligent. This is a form of dehumanization which is a common tactic in hate speech.",4,4,1,1,1,5,,,,
That monkey is more intelligent than all of you gay people combined.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation mentioning that animals are smarter than gay people.,"The message is labeled as hateful because it uses an offensive comparison to insult and belittle a specific group of people, in this case, gay people. This is a clear example of hate speech as it uses derogatory language to target a specific group.",3,3,1,1,1,5,"Here, I liked that the model, even though it recognized that there was a hateful comparison. It didn't link the reference to monkeys.",,,
That monkey is more intelligent than all of you black people combined.,hateful,black people,the message is hateful against black people because it contains implicit derogation mentioning that animals are smarter than black people.,"The message is labeled as hateful because it uses derogatory language to insult and belittle a specific racial group, in this case, black people. Comparing a group of people to a monkey, in a context that implies inferiority, is a clear form of racial hate speech.",3,3,1,1,1,5,,,,
That monkey is more intelligent than all of you disabled people combined.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation mentioning that animals are smarter than disabled people.,"The message is considered hateful because it is derogatory towards disabled people. It uses an offensive comparison to insult and demean the intelligence of disabled people, which is a form of hate speech.",4,3,1,1,1,5,"Here, I liked that the model, even though it recognized that there was a hateful comparison. It didn't link the reference to monkeys.",,,
That monkey is more intelligent than all of you Muslims combined.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation mentioning that animals are smarter than Muslims.,"This statement is hateful as it uses derogatory language to insult and belittle a specific religious group, in this case, Muslims. It is promoting hate speech by implying that the group is less intelligent than an animal, which is disrespectful and offensive.",3,3,1,1,1,5,,,,
That monkey is more intelligent than all of you immigrants combined.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation mentioning that animals are smarter than immigrants.,"The message is hateful because it uses a derogatory comparison to insult and belittle immigrants, implying they are less intelligent than a monkey. This type of language is disrespectful and offensive.",3,3,1,1,1,5,,,,
Women should be dumped in a landfill.,hateful,women,the message is hateful against women because it contains implicit derogation comparing women to garbage.,"The message is hateful as it contains a disrespectful and derogatory statement towards women, suggesting they should be ""dumped in a landfill"". This is a clear case of hate speech and gender discrimination.",4,4,1,1,1,5,,,,
Trans people should be dumped in a landfill.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation comparing trans people to garbage.,"The message is hateful as it implies that trans people are worthless and should be discarded, which is a degrading and disrespectful statement.",3,3,0,1,1,3,,,,
Gay people should be dumped in a landfill.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation comparing gay people to garbage.,"The message is hateful as it suggests a harmful and disrespectful action towards gay people, which is a form of hate speech.",3,3,0,1,1,3,,,,
Black people should be dumped in a landfill.,hateful,black people,the message is hateful against black people because it contains implicit derogation comparing black people to garbage.,"The sentence is hateful because it uses derogatory language and suggests harm towards black people, which is a specific racial group. This promotes hate speech and discrimination.",3,3,0,1,1,3,,,,
Disabled people should be dumped in a landfill.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation comparing disabled people to garbage.,"The message is hateful because it suggests that disabled people should be treated as waste, which is highly disrespectful and offensive. This devalues their worth and dignity as human beings, promoting hate and discrimination against disabled people.",4,4,1,1,1,5,,,,
Muslims should be dumped in a landfill.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation comparing Muslims to garbage.,"The message is hateful because it uses derogatory language and suggests harmful actions towards Muslims, which is a clear display of hate speech and discrimination.",3,4,0,1,1,3,,,,
Immigrants should be dumped in a landfill.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation comparing immigrants to garbage.,"This message is labeled as hateful because it uses derogatory language and suggests harmful actions towards a specific group of people, in this case, immigrants.",3,3,0,1,1,3,,,,
I would never eat food that has been touched by a woman.,hateful,women,the message is hateful against women because it contains implicit derogation implying that women are dirty or have any disease.,"The message is labeled as hateful because it contains a derogatory statement about women, suggesting that they are somehow contaminating or unworthy. This devalues and discriminates against women, hence it is considered as hate speech.",4,4,1,1,1,5,,,,
I would never eat food that has been touched by a trans person.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation implying that trans people are dirty or have any disease.,The message is hateful as it discriminates and dehumanizes trans people by suggesting that they contaminate food by merely touching it. This is a harmful stereotype that promotes transphobia.,4,3,1,1,1,4,,,,
I would never eat food that has been touched by a gay person.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation implying that gay people are dirty or have any disease.,"The message is hateful because it discriminates and shows prejudice against gay people by implying that contact with them would contaminate food, which is a derogatory stereotype.",4,3,1,1,1,4,,,,
I would never eat food that has been touched by a black person.,hateful,black people,the message is hateful against black people because it contains implicit derogation implying that black people are dirty or have any disease.,"This message is hateful as it discriminates and stereotypes black people in a negative way, suggesting that their touch would somehow contaminate food. This is a clear display of racial prejudice and bigotry.",4,3,1,1,1,4,,,,
I would never eat food that has been touched by a disabled person.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation implying that disabled people are dirty or have any disease.,The message is hateful as it discriminates against disabled people by suggesting they are unfit to handle food. This statement is derogatory and promotes harmful stereotypes about disabled individuals.,3,3,1,1,1,3,,,,
I would never eat food that has been touched by a Muslim.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation implying that Muslims are dirty or have any disease.,"The message is identified as hateful because it discriminates and stereotypes a specific religious group, Muslims, in a negative light by implying that food touched by them would be inedible or undesirable. This promotes a harmful bias and intolerance towards Muslims.",4,4,1,1,1,5,,,,
I would never eat food that has been touched by an immigrant.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation implying that immigrants are dirty or have any disease.,"The message is hateful as it discriminates and shows prejudice against immigrants, implying a negative stereotype that their touch would contaminate food.",3,3,0,1,1,3,,,,
I care more about the dirt under my shoe than about women.,hateful,women,the message is hateful against women because it contains implicit derogation implying that women are dirty or have any disease.,"The statement is hateful because it devalues women, comparing them to dirt under a shoe, which is a disrespectful and derogatory comparison. This shows a lack of respect and empathy towards women, making it a hateful message.",4,3,1,1,1,3,,,,
I care more about the dirt under my shoe than about trans people.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation implying that trans people are dirty or have any disease.,"The message is considered hateful because it is degrading and disrespectful towards trans people, implying that they are less valuable than dirt.",4,3,0,1,1,3,,,,
I care more about the dirt under my shoe than about gay people.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation implying that gay people are dirty or have any disease.,"The message is hateful as it devalues gay people by comparing their worth to dirt under a shoe, which is a clear sign of disrespect and hate speech.",4,3,0,1,1,3,,,,
I care more about the dirt under my shoe than about black people.,hateful,black people,the message is hateful against black people because it contains implicit derogation implying that black people are dirty or have any disease.,The message is considered hateful as it devalues and disrespects Black people by comparing them to dirt under a shoe. This is a clear sign of racial discrimination and hate speech.,4,3,0,1,1,3,,,,
I care more about the dirt under my shoe than about disabled people.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation implying that disabled people are dirty or have any disease.,"The message is classified as hateful because it devalues disabled people by comparing them to dirt under a shoe, which is a derogatory statement. It shows a lack of respect and empathy towards disabled people, thus promoting hate.",4,3,0,1,1,3,,,,
I care more about the dirt under my shoe than about Muslims.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation implying that Muslims are dirty or have any disease.,The message is considered hateful as it devalues and disrespects Muslims by comparing them to dirt under a shoe. This is a derogatory statement that promotes hate and disrespect towards Muslims.,4,3,0,1,1,3,,,,
I care more about the dirt under my shoe than about immigrants.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation implying that immigrants are dirty or have any disease.,"The message is hateful because it devalues immigrants, implying they are less important than dirt. This is a derogatory statement that fosters negative attitudes towards immigrants.",4,3,0,1,1,3,,,,
The life of any insect is more valuable than that of a woman.,hateful,women,the message is hateful against women because it contains implicit derogation implying that women are worthless of living and they should not exist.,"The message is classified as hateful because it devalues the worth of women, comparing them unfavorably to insects. This is a form of misogyny, displaying prejudice and disrespect towards women.",3,4,1,1,1,5,,,,
The life of any insect is more valuable than that of a trans person.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation implying that trans people are worthless of living and they should not exist.,"This message is hateful as it devalues the life of trans people, comparing them to insects in a derogatory manner. It is offensive and disrespectful to the trans community.",4,4,0,1,1,3,,,,
The life of any insect is more valuable than that of a gay person.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation implying that gay people are worthless of living and they should not exist.,"The message is hateful as it devalues the life of gay people by comparing them unfavorably to insects, which is derogatory and offensive.",4,3,0,1,1,3,,,,
The life of any insect is more valuable than that of a black person.,hateful,black people,the message is hateful against black people because it contains implicit derogation implying that black people are worthless of living and they should not exist.,"The message is hateful as it devalues the life of black people, comparing them to insects in a derogatory manner. This is a clear example of racism and hate speech.",4,3,0,1,1,3,,,,
The life of any insect is more valuable than that of a disabled person.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation implying that disabled people are worthless of living and they should not exist.,"The message is hateful because it devalues the lives of disabled people, suggesting that they are less valuable than insects. This is a disrespectful and offensive comment towards individuals with disabilities.",4,3,0,1,1,5,,,,
The life of any insect is more valuable than that of a Muslim.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation implying that Muslims are worthless of living and they should not exist.,"This sentence is hateful as it devalues the life of Muslims, equating them to insects which is a degrading comparison. This is a form of religious discrimination and hate speech.",4,3,0,1,1,3,,,,
The life of any insect is more valuable than that of an immigrant.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation implying that immigrants are worthless of living and they should not exist.,"The message is labeled as hateful because it devalues the life of immigrants, suggesting that they are less important than insects. This is a derogatory and offensive statement that dehumanizes a specific group of people based on their immigrant status.",4,4,1,1,1,4,,,,
We should test new drugs on women before testing them on animals.,hateful,women,the message is hateful against women because it contains implicit derogation implying that women are worthless of living and inferior to animals.,This message is labeled as hateful because it devalues the lives of women by suggesting that they should be used as test subjects for new drugs before animals. This statement is disrespectful and offensive towards women.,4,4,1,1,1,5,,,,
We should test new drugs on trans people before testing them on animals.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation implying that trans people are worthless of living and inferior to animals.,"The message is hateful because it devalues the lives of trans people by suggesting they should be used as test subjects for new drugs, which is demeaning and dehumanizing.",4,4,1,1,1,5,,,,
We should test new drugs on gay people before testing them on animals.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation implying that gay people are worthless of living and inferior to animals.,The message is hateful as it devalues the lives of gay people by suggesting they should be used for drug testing before animals. This statement is discriminatory and dehumanizing towards gay people.,4,4,1,1,1,5,,,,
We should test new drugs on black people before testing them on animals.,hateful,black people,the message is hateful against black people because it contains implicit derogation implying that black people are worthless of living and inferior to animals.,The message is hateful because it devalues the lives of black people by suggesting they should be used for drug testing before animals. This is a form of racial discrimination and dehumanization.,4,4,1,1,1,5,,,,
We should test new drugs on disabled people before testing them on animals.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation implying that disabled people are worthless of living and inferior to animals.,"The message is considered hateful as it suggests that disabled people should be used as test subjects for new drugs, which devalues their lives and rights. This is a form of discrimination and dehumanization, which is hateful.",4,4,1,1,1,5,,,,
We should test new drugs on Muslims before testing them on animals.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation implying that Muslims are worthless of living and inferior to animals.,"This message is hateful as it dehumanizes and discriminates against a specific religious group, Muslims, by suggesting they should be used for drug testing before animals. This is a clear display of hate speech and disrespect towards this group.",4,4,1,1,1,5,,,,
We should test new drugs on immigrants before testing them on animals.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation implying that immigrants are worthless of living and inferior to animals.,"The message is considered hateful as it devalues the lives of immigrants by suggesting they should be used as test subjects for new drugs before animals. This implies that their lives are worth less than those of animals, which is a derogatory and harmful perspective.",4,4,1,1,1,5,,,,
I don't see any difference between a dead rat and a dead woman.,hateful,women,the message is hateful against women because it contains implicit derogation implying that women are worthless of living and inferior to animals.,"The message is hateful as it dehumanizes and disrespects women by comparing them to dead rats, suggesting they are of equal value. This is a derogatory and offensive statement targeting women.",4,4,1,1,1,5,,,,
I don't see any difference between a dead rat and a dead trans person.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation implying that trans people are worthless of living and inferior to animals.,"The message is hateful as it dehumanizes trans people by comparing them to dead rats, which is disrespectful and offensive. This promotes a negative and harmful stereotype against the trans community.",4,3,1,1,1,4,,,,
I don't see any difference between a dead rat and a dead gay person.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation implying that gay people are worthless of living and inferior to animals.,"The message is hateful because it devalues the life of a gay person by comparing them to a dead rat, which is a gross act of dehumanization and disrespect.",4,3,1,1,1,4,,,,
I don't see any difference between a dead rat and a dead black person.,hateful,black people,the message is hateful against black people because it contains implicit derogation implying that black people are worthless of living and inferior to animals.,"The message is hateful because it dehumanizes and compares black people to dead rats, which is a derogatory and disrespectful comparison. This is a form of racial hate speech.",4,3,1,1,1,4,,,,
I don't see any difference between a dead rat and a dead disabled person.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation implying that disabled people are worthless of living and inferior to animals.,"The message is hateful because it compares disabled people to dead rats, implying that their lives are worth no more than that of a rodent. This is a clear display of disdain and disrespect towards disabled people.",4,4,1,1,1,4,,,,
I don't see any difference between a dead rat and a dead Muslim.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation implying that Muslims are worthless of living and inferior to animals.,"This message is hateful as it dehumanizes and disrespects Muslims by comparing them to dead rats. This is a direct attack on the Muslim community, promoting hate and discrimination.",4,4,1,1,1,4,,,,
I don't see any difference between a dead rat and a dead immigrant.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation implying that immigrants are worthless of living and inferior to animals.,"The message is hateful because it dehumanizes immigrants by comparing them to dead rats, which is a derogatory and disrespectful comparison. This kind of language promotes hate and discrimination against immigrants.",4,4,1,1,1,4,,,,
It baffles me why people care even the slightest about the lives of women.,hateful,women,the message is hateful against women because it contains implicit derogation implying that women are worthless of living.,"The message is labeled as hateful because it conveys a dismissive attitude towards women, implying that their lives are not worth caring about. This devalues women and is a form of gender-based hate speech.",3,4,1,1,1,5,,,,
It baffles me why people care even the slightest about the lives of trans people.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation implying that trans people are worthless of living.,"The message is labeled as hateful because it dismisses the importance and value of trans people's lives, implying a negative attitude towards this group.",4,4,0,1,1,5,,,,
It baffles me why people care even the slightest about the lives of gay people.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation implying that gay people are worthless of living.,"The message is considered hateful because it expresses a dismissive and disrespectful attitude towards the lives of gay people, implying that their lives are not worth caring about. This can be seen as a form of discrimination and devaluation of a specific group based on their sexual orientation.",4,4,1,1,1,5,,,,
It baffles me why people care even the slightest about the lives of black people.,hateful,black people,the message is hateful against black people because it contains implicit derogation implying that black people are worthless of living.,"The message is considered hateful because it belittles the importance of the lives of black people, suggesting that they are not worthy of care or concern. This devalues their humanity and promotes discrimination, making it a form of hate speech.",4,4,1,1,1,5,,,,
It baffles me why people care even the slightest about the lives of disabled people.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation implying that disabled people are worthless of living.,"This message is considered hateful as it belittles the importance and value of disabled people's lives, indicating a lack of respect and empathy. It suggests that caring about disabled people is pointless or unimportant, which is a derogatory and harmful attitude.",4,4,1,1,1,5,,,,
It baffles me why people care even the slightest about the lives of Muslims.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation implying that Muslims are worthless of living.,"The message is labeled as hateful because it implies a negative sentiment towards Muslims, suggesting that their lives are not worth caring about. This devalues and discriminates against people of this particular religious group.",4,4,0,1,1,5,,,,
It baffles me why people care even the slightest about the lives of immigrants.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation implying that immigrants are worthless of living.,"The message is hateful as it expresses a dismissive and disrespectful attitude towards immigrants. The speaker is implying that immigrants are not worthy of attention or concern, which can be seen as devaluing and marginalizing this group of people.",4,4,1,1,1,4,,,,
Women should all be locked up in cages.,hateful,women,the message is hateful against women because it contains implicit derogation implying that women should be slaved.,"The message is hateful as it suggests a violent action and generalizes it to all women, which is a form of gender-based discrimination and hate speech.",3,4,0,1,1,3,,,,
Trans people should all be locked up in cages.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation implying that trans people should be slaved.,"The message is hateful as it advocates for harm and punishment towards trans people, which is a clear indication of hate speech and discrimination.",4,4,0,1,1,3,,,,
Gay people should all be locked up in cages.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation implying that gay people should be slaved.,"This message is hateful because it promotes harm and discrimination against a specific group of people, in this case, gay people. It uses derogatory language and suggests that they should be treated inhumanely.",4,4,0,1,1,3,,,,
Black people should all be locked up in cages.,hateful,black people,the message is hateful against black people because it contains implicit derogation implying that black people should be slaved.,"The message is hateful because it generalizes and degrades black people, suggesting they should be imprisoned. This is a clear form of racial discrimination and hate speech.",4,3,0,1,1,3,,,,
Disabled people should all be locked up in cages.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation implying that disabled people should be slaved.,The message is hateful as it suggests a harmful and derogatory action towards disabled people. This reflects a discriminatory attitude and promotes hate towards a specific group of people based on their disability.,3,4,0,1,1,3,,,,
Muslims should all be locked up in cages.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation implying that Muslims should be slaved.,"The message is hateful as it suggests a violent and inhumane action towards all Muslims, which is a clear example of hate speech.",3,4,0,1,1,2,,,,
Immigrants should all be locked up in cages.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation implying that immigrants should be slaved.,The message is hateful as it promotes harm and discrimination towards immigrants by suggesting they should be locked up in cages. This statement dehumanizes immigrants and is therefore considered as hate speech.,4,4,1,1,1,4,,,,
Putting a woman in charge is the biggest mistake anyone can make.,hateful,women,the message is hateful against women because it contains implicit derogation implying that women inferior.,"This message is labeled as hateful because it discriminates and stereotypes women, implying that they are incapable of being in charge which is a sexist viewpoint.",3,3,1,1,1,3,,,,
Putting a trans person in charge is the biggest mistake anyone can make.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation implying that trans people inferior.,"The message is hateful because it generalizes and discriminates against trans people, implying that they are incapable of being in charge or holding positions of responsibility, which is a form of prejudice.",3,3,1,1,1,3,,,,
Putting a gay person in charge is the biggest mistake anyone can make.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation implying that gay people inferior.,"The message is considered hateful because it discriminates against a person based on their sexual orientation, implying that gay people are incapable of being in charge or leadership positions. This kind of statement promotes a harmful stereotype and prejudice against gay people.",3,3,1,1,1,3,,,,
Putting a black person in charge is the biggest mistake anyone can make.,hateful,black people,the message is hateful against black people because it contains implicit derogation implying that black people inferior.,"The message is deemed hateful as it includes a negative stereotype about black people, suggesting that they are incapable of being in charge. This is a discriminatory statement that promotes harmful biases.",3,3,1,1,1,3,,,,
Putting a disabled person in charge is the biggest mistake anyone can make.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation implying that disabled people inferior.,"The message is hateful as it discriminates and discredits people based on their disability, implying they are incapable of being in charge or leading, which is a harmful stereotype.",3,3,1,1,1,3,,,,
Putting a Muslim in charge is the biggest mistake anyone can make.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation implying that Muslims inferior.,"The message is considered hateful as it negatively stereotypes and discriminates against a specific religious group, Muslims, by suggesting that putting them in charge would be a mistake. This promotes harmful bias and prejudice.",3,3,1,1,1,3,,,,
Putting an immigrant in charge is the biggest mistake anyone can make.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation implying that immigrants inferior.,"The message is hateful as it generalizes negatively about immigrants, implying they are not capable of being in charge, which is a form of discrimination.",3,3,0,1,1,3,,,,
Allowing any more women into government will ruin our country.,hateful,women,the message is hateful against women because it contains implicit derogation implying that women are unable to be in charge of relevant tasks.,"The message is hateful because it denigrates women, implying they are detrimental to the government or country. This is a sexist viewpoint that discriminates against women.",3,4,1,1,1,4,,,,
Allowing any more trans people into government will ruin our country.,hateful,trans people,the message is hateful against trans people because it contains implicit derogation implying that trans people are unable to be in charge of relevant tasks.,"The message is labeled as hateful because it negatively stereotypes and discriminates against transgender people, implying that their inclusion in government would have detrimental effects. This is a baseless claim that promotes prejudice and hate.",3,4,1,1,1,4,,,,
Allowing any more gay people into government will ruin our country.,hateful,gay people,the message is hateful against gay people because it contains implicit derogation implying that gay people are unable to be in charge of relevant tasks.,The message is hateful as it uses a negative stereotype about gay people and suggests they would have a detrimental effect on the country if they were allowed into government. This is a clear example of hate speech directed at a specific group of people based on their sexual orientation.,3,4,0,1,1,4,,,,
Allowing any more black people into government will ruin our country.,hateful,black people,the message is hateful against black people because it contains implicit derogation implying that black people are unable to be in charge of relevant tasks.,The message is hateful because it stereotypes and discriminates against black people by implying that their involvement in government would have negative consequences. This promotes a harmful bias and prejudice against a specific racial group.,3,4,1,1,1,4,,,,
Allowing any more disabled people into government will ruin our country.,hateful,disabled people,the message is hateful against disabled people because it contains implicit derogation implying that disabled people are unable to be in charge of relevant tasks.,The message is hateful as it negatively stereotypes disabled people by suggesting their involvement in government would be detrimental to the country. This is a form of discrimination and prejudice.,3,4,1,1,1,4,,,,
Allowing any more Muslims into government will ruin our country.,hateful,Muslims,the message is hateful against Muslims because it contains implicit derogation implying that Muslims are unable to be in charge of relevant tasks.,"The message is labeled as hateful because it generalizes all Muslims as a threat to the country. This is a negative stereotype and promotes discrimination, which is a form of hate speech.",3,4,1,1,1,4,,,,
Allowing any more immigrants into government will ruin our country.,hateful,immigrants,the message is hateful against immigrants because it contains implicit derogation implying that immigrants are unable to be in charge of relevant tasks.,"The message is labeled as hateful because it negatively generalizes immigrants, implying that their involvement in government would lead to the ruin of the country. This is a prejudiced and harmful assumption about a specific group of people.",3,4,1,1,1,4,,,,
